Theme,Indicator Name,Variable,Variable Description,Data Sources,Definition and Indicator Information
Social Determinants of Health,Educational Attainment among Adults,Edu_LessHS_Pct_LCL,"Lower 95% Confidence Limit, Less Than High School",,
Social Determinants of Health,Educational Attainment among Adults,Edu_LessHS_Pct_UCL,"Upper 95% Confidence Limit, Less Than High School",,
Social Determinants of Health,Educational Attainment among Adults,Edu_HSGrad_Pct,Percentage of Population Ages 25 Years and Older Who Are High School Graduates,"U.S. Census Bureau, ""Educational Attainment for the Population 25 Years and Over."" American Community Survey, ACS 5-Year Estimates Detailed Tables, Table B15003, 2018-2022.","For the category for less than high school education, the highest level of education attained includes less than ninth grade education, as well as ninth to twelfth grade education without a high school diploma. For the high school graduates category, the highest level of education attained includes high school diploma or equivalency. For the some college education category, the highest level of education attained includes associate’s degree or some college education without a degree. For the bachelor's degree or higher category, the highest level of education attained includes bachelor’s, graduate, or professional degree. Due to rounding, educational attainment categories may not sum to 100%. "
Social Determinants of Health,Educational Attainment among Adults,Edu_HSGrad_Pct_LCL,"Lower 95% Confidence Limit, High School Graduate",,
Social Determinants of Health,Educational Attainment among Adults,Edu_HSGrad_Pct_UCL,"Upper 95% Confidence Limit, High School Graduate",,
Social Determinants of Health,Educational Attainment among Adults,Edu_College_Pct,Percentage of Population Ages 25 Years and Older with Some College Education,"U.S. Census Bureau, ""Educational Attainment for the Population 25 Years and Over."" American Community Survey, ACS 5-Year Estimates Detailed Tables, Table B15003, 2018-2022.","For the category for less than high school education, the highest level of education attained includes less than ninth grade education, as well as ninth to twelfth grade education without a high school diploma. For the high school graduates category, the highest level of education attained includes high school diploma or equivalency. For the some college education category, the highest level of education attained includes associate’s degree or some college education without a degree. For the bachelor's degree or higher category, the highest level of education attained includes bachelor’s, graduate, or professional degree. Due to rounding, educational attainment categories may not sum to 100%. "
Social Determinants of Health,Educational Attainment among Adults,Edu_College_Pct_LCL,"Lower 95% Confidence Limit, Some College",,
Social Determinants of Health,Educational Attainment among Adults,Edu_College_Pct_UCL,"Upper 95% Confidence Limit, Some College",,
Social Determinants of Health,Educational Attainment among Adults,Edu_Bach_Pct,Percentage of Population Ages 25 Years and Older with a Bachelor's Degree or Higher,"U.S. Census Bureau, ""Educational Attainment for the Population 25 Years and Over."" American Community Survey, ACS 5-Year Estimates Detailed Tables, Table B15003, 2018-2022.","For the category for less than high school education, the highest level of education attained includes less than ninth grade education, as well as ninth to twelfth grade education without a high school diploma. For the high school graduates category, the highest level of education attained includes high school diploma or equivalency. For the some college education category, the highest level of education attained includes associate’s degree or some college education without a degree. For the bachelor's degree or higher category, the highest level of education attained includes bachelor’s, graduate, or professional degree. Due to rounding, educational attainment categories may not sum to 100%. "
Social Determinants of Health,Educational Attainment among Adults,Edu_Bach_Pct_LCL,"Lower 95% Confidence Limit, Bachelor's or Higher",,
Social Determinants of Health,Educational Attainment among Adults,Edu_Bach_Pct_UCL,"Upper 95% Confidence Limit, Bachelor's or Higher",,
Social Determinants of Health,Children Enrolled in Preschool,Preschool,Percentage of Children Ages 3-4 Years Enrolled in Preschool,"U.S. Census Bureau, ""Sex by School Enrollment by Type of School by Age for the Population 3 Years and Over."" American Community Survey, ACS 5-Year Estimates Detailed Tables, Table B14003, 2018-2022, Accessed on January 2024.",This indicator provides information about the percentage of children ages 3-4 years enrolled in preschool based on caregiver report.
Social Determinants of Health,Children Enrolled in Preschool,Preschool_LCL,Lower 95% Confidence Limit,,
Social Determinants of Health,Children Enrolled in Preschool,Preschool_UCL,Upper 95% Confidence Limit,,
Social Determinants of Health,3rd Graders Meeting or Exceeding California Standards for English Language Arts and Literacy,Grade3_Eng,Percentage of Public School Third Graders Who Are Meeting or Exceeding California Standards for English Language Arts and Literacy,"California Department of Education, California Assessment of Student Performance and Progress System, 2022-2023 Smarter Balanced Summative Assessments, Accessed January, 2024. Tabulated by Los Angeles County Department of Public Health, Office of Health Assessment.","Note, information is based on location of the school, not students’ community of residence. "
Social Determinants of Health,3rd Graders Meeting or Exceeding California Standards for English Language Arts and Literacy,Grade3_Eng_LCL,Lower 95% Confidence Limit,,
Social Determinants of Health,3rd Graders Meeting or Exceeding California Standards for English Language Arts and Literacy,Grade3_Eng_UCL,Upper 95% Confidence Limit,,
Social Determinants of Health,3rd Graders Meeting or Exceeding California Standards for Math,Grade3_Math,Percentage of Public School Third Graders Who Are Meeting or Exceeding California Standards for Math,"California Department of Education, California Assessment of Student Performance and Progress System, 2022-2023 Smarter Balanced Summative Assessments, Accessed January, 2024. Tabulated by Los Angeles County Department of Public Health, Office of Health Assessment.","Note, information is based on location of the school, not students’ community of residence."
Social Determinants of Health,3rd Graders Meeting or Exceeding California Standards for Math,Grade3_Math_LCL,Lower 95% Confidence Limit,,
Social Determinants of Health,3rd Graders Meeting or Exceeding California Standards for Math,Grade3_Math_UCL,Upper 95% Confidence Limit,,
Social Determinants of Health,Children Whose Caregivers Report Difficulty Finding Needed Childcare,Diff_Child_C,Percentage of Children (Ages 0 to 5 Years) Whose Caregivers Report Difficulty Finding Needed Childcare,"2023 Los Angeles County Health Survey, Office of Health Assessment and Epidemiology, Los Angeles County Department of Public Health.",This indicator includes children whose caregivers reported it is somewhat or very difficult to get childcare on a regular basis when needed. Children who attend a kindergarten and children who do not need childcare were excluded from data analyses.
Social Determinants of Health,Children Whose Caregivers Report Difficulty Finding Needed Childcare,Diff_Child_C_LCL,Lower 95% Confidence Limit,,
Social Determinants of Health,Children Whose Caregivers Report Difficulty Finding Needed Childcare,Diff_Child_C_UCL,Upper 95% Confidence Limit,,
Social Determinants of Health,Children Whose Caregivers Report Difficulty Finding Needed Childcare,Diff_Child_C_EST,Estimation Method,,
Social Determinants of Health,Voter Turnout in the 2020 General Election,Voting,Percentage of Registered Voters Who Voted in the 2020 General Election,"University of California at Berkeley, Statewide Database (SWDB), 2020.",
Social Determinants of Health,Voter Turnout in the 2020 General Election,Voting_LCL,Lower 95% Confidence Limit,,
Social Determinants of Health,Voter Turnout in the 2020 General Election,Voting_UCL,Upper 95% Confidence Limit,,
Social Determinants of Health,Adults Receiving the Social and Emotional Support They Need,SE_Support,Percentage of Adults (Ages 18 Years and Older) Who Report Receiving the Social and Emotional Support They Need,"[1] 2023 Los Angeles County Health Survey, Office of Health Assessment and Epidemiology, Los Angeles County Department of Public Health; [2] Population and Poverty Estimates (Provisional), prepared by Hedderson Demographic Services for Los Angeles County, 2022; [3] U.S. Census Bureau, American Community Survey 5-Year Estimates, 2017-2021. ","Data for cities, communities, and City of Los Angeles Council Districts were generated using a small area estimation method which combined the survey data with population benchmark data (2022 population estimates for Los Angeles County) and neighborhood characteristics data (e.g.,  U.S. Census Bureau, 2017-2021 American Community Survey 5-Year Estimates). This indicator includes adults who reported always or usually receiving the social and emotional support they need. "
Social Determinants of Health,Adults Receiving the Social and Emotional Support They Need,SE_Support_LCL,Lower 95% Confidence Limit,,
Social Determinants of Health,Adults Receiving the Social and Emotional Support They Need,SE_Support_UCL,Upper 95% Confidence Limit,,
Social Determinants of Health,Adults Receiving the Social and Emotional Support They Need,SE_Support_EST,Estimation Method,,
