 #,Geo_ID,Geo_Feature,Geography_Name,Geography_Type,LE_birth,LE_birth_LCL,LE_birth_UCL,Overall_MR,Overall_MR_LCL,Overall_MR_UCL,COVID_a,COVID_a_LCL,COVID_a_UCL,Poor_health,Poor_health_LCL,Poor_health_UCL,Poor_health_EST,MHI,MHI_LCL,MHI_UCL,100_FPL_Pop,100_FPL_Pct,200_FPL_Pop,200_FPL_Pct,100_FPL_Child_Pop,100_FPL_Child_Pct,200_FPL_Child_Pop,200_FPL_Child_Pct,Poverty_PST,Edu_LessHS_Pop,Edu_HSGrad_Pop,Edu_College_Pop,Edu_Bach_Pop,Edu_LessHS_Pct,Edu_LessHS_Pct_LCL,Edu_LessHS_Pct_UCL,Edu_HSGrad_Pct,Edu_HSGrad_Pct_LCL,Edu_HSGrad_Pct_UCL,Edu_College_Pct,Edu_College_Pct_LCL,Edu_College_Pct_UCL,Edu_Bach_Pct,Edu_Bach_Pct_LCL,Edu_Bach_Pct_UCL,Preschool,Preschool_LCL,Preschool_UCL,Grade3_Eng,Grade3_Eng_LCL,Grade3_Eng_UCL,Grade3_Math,Grade3_Math_LCL,Grade3_Math_UCL,Diff_Child_C,Diff_Child_C_LCL,Diff_Child_C_UCL,Diff_Child_C_EST,Voting,Voting_LCL,Voting_UCL,SE_Support,SE_Support_LCL,SE_Support_UCL,SE_Support_EST
0,hp_target,Healthy People 2030 Target,Healthy People 2030 Target,Healthy People 2030 Target,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,csa_city_bellflower,Bellflower,City of Bellflower,Incorporated City,79.5,78.2,80.8,708.8,648.9,768.7,440.9,392.1,489.7,12.2,9.9,14.5,small area estimate,75379,71243,79515,10286,13.4,23133,30.1,3205,18.4,7402,42.6,0,11826,13502,17232,10396,22.3,20.2,24.5,25.5,23.6,27.4,32.5,30.4,34.7,19.6,18,21.2,53,43.8,62.2,24.6,20.2,29,29,24.4,33.6,,,,,70.7,70.3,71.1,64.5,60.4,68.6,small area estimate
25,csa_city_beverly_hills,Beverly Hills,City of Beverly Hills,Incorporated City,84.6,83.1,86,501.6,440.8,562.5,97.6,72.9,122.3,6.2,4.5,7.9,small area estimate,116771,103698,129844,3313,10.3,7320,22.9,448,8.7,1097,21.2,0,918,2868,4789,16274,3.7,2.3,5.1,11.5,9.3,13.8,19.3,16.5,22,65.5,61.3,69.7,83.5,57.7,109.4,72.6,66.1,79.2,75,68.8,81.2,,,,,80.1,79.6,80.6,70.6,67.2,74.1,small area estimate
27,csa_city_burbank,Burbank,City of Burbank,Incorporated City,81,80.2,81.8,682.7,638.7,726.7,286.8,258.1,315.5,10.1,7.9,12.3,small area estimate,91455,85918,96992,11374,10.8,25024,23.9,2141,11.9,4701,26.2,0,5589,11992,25475,35079,7.2,6.2,8.1,15.3,14,16.7,32.6,30.6,34.6,44.9,42.4,47.4,51.3,38.3,64.2,56.7,53.5,59.9,56.9,53.8,60.1,,,,,79.7,79.4,80,66.8,63.4,70.3,small area estimate
28,csa_city_calabasas,Calabasas,City of Calabasas,Incorporated City,84.2,82.2,86.2,510.6,427.2,594,167.7,120.7,214.6,5.7,3.8,7.5,small area estimate,154079,137341,170817,2244,9.9,4736,20.9,435,10.1,951,22.1,0,287,1414,3174,11419,,,,8.7,6.2,11.1,19.5,16.4,22.6,70.1,64,76.2,70.7,66.2,75.1,63.5,57.3,69.7,67.1,61.1,73.1,,,,,83.9,83.3,84.5,75.8,72.2,79.4,small area estimate
29,csa_city_carson,Carson,City of Carson,Incorporated City,80.2,79.2,81.2,695.4,649.5,741.2,303.5,272.5,334.6,10.3,7.8,12.7,small area estimate,103045,97671,108419,8678,9.5,19613,21.4,1986,12,4707,28.4,0,11918,14790,20750,19977,17.7,16.1,19.3,21.9,20.2,23.6,30.8,28.8,32.7,29.6,27.5,31.7,39.8,26.1,53.4,41.8,38.4,45.3,44.9,41.4,48.4,,,,,70.2,69.8,70.6,67.9,63.5,72.3,small area estimate
30,csa_city_cerritos,Cerritos,City of Cerritos,Incorporated City,82.8,81.4,84.1,573.3,522.3,624.3,151.1,123.8,178.3,8,5.8,10.3,small area estimate,124460,119272,129648,1959,4.1,4907,10.1,384,4.9,854,10.9,0,2190,4925,9135,20044,6,4.9,7.2,13.6,12,15.1,25.2,23.1,27.2,55.2,52.7,57.7,56.2,44.1,68.3,70.8,67.7,74,74.1,71.1,77.1,,,,,79.2,78.8,79.6,70.9,65.9,75.8,small area estimate
32,csa_city_claremont,Claremont,City of Claremont,Incorporated City,81.7,80.4,82.9,669.8,601.7,737.9,206,169.4,242.5,7.6,6.1,9.2,small area estimate,115091,104620,125562,1238,3.4,3103,8.5,229,4.2,670,12.3,0,1360,2884,6228,14204,5.5,4.2,6.9,11.7,9.1,14.3,25.2,22.1,28.4,57.6,53.5,61.6,50.5,34.1,67,56.8,52.1,61.5,60.3,55.7,65,,,,,82.9,82.4,83.4,73.5,70.3,76.6,small area estimate
34,csa_city_compton,Compton,City of Compton,Incorporated City,75.2,74.2,76.2,983.4,911.4,1055.4,450,402.9,497.1,13.9,11,16.9,small area estimate,69728,65633,73823,17145,18.3,39241,42,6436,25.8,14636,58.7,29.8,21432,16539,14995,6166,36.2,34,38.5,28,26.4,29.5,25.4,23.5,27.2,10.4,9.1,11.7,34.3,28.3,40.3,35.8,32.9,38.8,43.4,40.4,46.4,,,,,60.4,60,60.8,65.6,60.8,70.4,small area estimate
35,csa_city_covina,Covina,City of Covina,Incorporated City,79.3,77.9,80.7,720,651.8,788.2,451.7,397,506.4,12.5,10.6,14.5,small area estimate,89650,84156,95144,4392,8.8,10723,21.4,1207,11.9,3031,29.8,0,4552,9603,11975,9254,12.9,11.1,14.6,27.1,24.2,30.1,33.8,31,36.7,26.2,23.8,28.5,39,26.5,51.5,47.7,42.9,52.5,46.1,41.3,50.8,,,,,76.3,75.8,76.8,65.1,61.6,68.7,small area estimate
36,csa_city_cudahy,Cudahy,City of Cudahy,Incorporated City,,,,714.5,588.8,840.3,579.4,461.6,697.1,18.8,15.3,22.3,small area estimate,49596,43528,55664,6484,29.3,15749,71.2,2483,42.5,5109,87.5,33.3,6338,3881,2596,711,46.9,42.4,51.4,28.7,24.8,32.6,19.2,16.2,22.2,5.3,3.3,7.2,33,16.8,49.2,32.1,27.4,36.8,32.3,27.6,37,,,,,59.9,58.9,60.9,55,49.6,60.3,small area estimate
